Car_Brand,Car_Model,Year,Car_Condition,Mileage,Price
Mercedes-Benz,GL 450,2013,Nigerian Used,132018,27040000
Chevrolet,Equinox,2008,Nigerian Used,75618,2625000
Mercedes-Benz,ML 350 4MATIC,2009,Foreign Used,167516,12168000
Toyota,Sienna,2006,Nigerian Used,131025,3675000
Toyota,Corolla,2004,Nigerian Used,179357,3328000
Kia,Cerato,2007,Nigerian Used,185057,1575000
Toyota,4-Runner,2007,Nigerian Used,111884,5720000
Honda,Pilot,2009,Nigerian Used,114731,6240000
Toyota,Sienna,2005,Nigerian Used,142592,3320100
Honda,Accord,2008,Nigerian Used,275498,3328000
Audi,A6,2007,Foreign Used,10006,4200000
Honda,Accord,2009,Nigerian Used,82101,3640000
Honda,CR-V,2013,Nigerian Used,56647,6825000
Acura,TL,2013,Nigerian Used,225614,4725000
Land Rover,Range Rover Sport,2016,Nigerian Used,90440,31500000
Toyota,Highlander,2012,Foreign Used,135232,16640000
Lexus,ES 350,2007,Nigerian Used,122938,6760000
Mitsubishi,Montero,2002,Nigerian Used,284458,1627500
Toyota,Highlander,2002,Nigerian Used,236734,4160000
Toyota,Camry,2012,Foreign Used,251956,13000000
Ford,Fusion,2010,Nigerian Used,167134,3150000
Lexus,RX 350,2011,Nigerian Used,81509,13520000
Hyundai,Sonata,2014,Foreign Used,165094,7350000
Toyota,Corolla,2003,Nigerian Used,157380,5200000
Toyota,Highlander,2002,Nigerian Used,174144,3640000
Toyota,4-Runner,2004,Nigerian Used,277813,4160000
Honda,Pilot,2003,Nigerian Used,369937,1890000
Toyota,Camry,2008,Nigerian Used,143197,3885000
Honda,Accord,2006,Nigerian Used,87312,2808000
Lexus,ES 350,2015,Nigerian Used,140027,13125000
Ford,Transit,2010,Nigerian Used,373415,7875000
Toyota,Camry,2004,Nigerian Used,521781,3120000
Hyundai,Santa Fe,2014,Nigerian Used,58502,6300000
Toyota,Matrix,2005,Nigerian Used,113306,2940000
Toyota,Corolla,2007,Nigerian Used,304157,2625000
Toyota,Corolla,2017,Nigerian Used,85145,9975000
Toyota,RAV4,2007,Foreign Used,117092,8840000
Lexus,RX 330,2006,Nigerian Used,215997,7592000
Mazda,CX-9,2007,Foreign Used,110566,5145000
Toyota,Highlander,2008,Nigerian Used,145287,7800000
Mercedes-Benz,GLK 350 4MATIC,2012,Nigerian Used,99790,9103500
Mercedes-Benz,GLA 250,2017,Nigerian Used,166558,21000000
Toyota,Camry,2006,Nigerian Used,375162,2205000
Ford,Explorer,2007,Nigerian Used,116433,4680000
Acura,TSX,2006,Nigerian Used,360662,3780000
Chrysler,Town & Country,2008,Nigerian Used,342222,4725000
Ford,Escape,2013,Nigerian Used,241775,5616000
Toyota,Sienna,2015,Foreign Used,122892,19760000
Honda,Crosstour,2010,Nigerian Used,191764,4200000
Honda,Accord,2010,Nigerian Used,206601,3360000
Toyota,Corolla,2010,Nigerian Used,188750,3150000
Hyundai,Santa Fe,2014,Nigerian Used,94237,9450000
Kia,Rio,2006,Nigerian Used,263503,1575000
Hyundai,Tucson,2017,Nigerian Used,110935,14175000
Honda,Civic,2007,Nigerian Used,368971,2520000
Toyota,Camry,2003,Nigerian Used,220436,2625000
BMW,525i,2012,Foreign Used,141296,15750000
Lexus,GX 460,2010,Nigerian Used,104426,24960000
Infiniti,FX35,2009,Nigerian Used,204254,4200000
Volvo,XC90,2004,Nigerian Used,100596,3465000
Lexus,GX 460,2019,Nigerian Used,137703,56700000
Lexus,GX 470,2005,Nigerian Used,189583,7280000
Ford,Focus,2003,Nigerian Used,234373,1575000
Toyota,4-Runner,2005,Nigerian Used,199303,3675000
Toyota,Camry,2002,Nigerian Used,224934,2704000
Honda,Odyssey,2004,Nigerian Used,450375,2080000
Nissan,X-Trail,2015,Nigerian Used,111124,6300000
Lexus,RX 350,2010,Nigerian Used,251766,10500000
Toyota,Camry,2011,Nigerian Used,236253,4935000
Toyota,Camry,2015,Nigerian Used,182813,11440000
Nissan,Altima,2007,Nigerian Used,246417,4200000
Mercedes-Benz,GLE 350 4 MATIC,2016,Nigerian Used,52704,31200000
Mercedes-Benz,ML 350,2012,Nigerian Used,234219,17160000
Toyota,Venza,2009,Foreign Used,95834,12075000
Hyundai,Azera,2014,Nigerian Used,45278,6300000
Toyota,Camry,2002,Nigerian Used,344316,2496000
Hyundai,Sonata,2013,Foreign Used,257408,12480000
Toyota,Corolla,2003,Nigerian Used,102368,2940000
Toyota,Hilux,2007,Nigerian Used,255614,8840000
Toyota,Sienna,2016,Foreign Used,225159,20800000
Lexus,RX 350,2009,Nigerian Used,150212,6300000
Nissan,Almera,2003,Nigerian Used,158786,1680000
Ford,Mondeo,2005,Nigerian Used,129167,3675000
Lexus,GS 350,2007,Nigerian Used,331105,4725000
Honda,Accord,2008,Nigerian Used,81845,3432000
Toyota,Highlander Limited,2006,Nigerian Used,150413,4095000
Mazda,Premacy,2000,Nigerian Used,181391,2100000
Toyota,Corolla,2007,Nigerian Used,88517,4992000
Lexus,RX 350,2007,Nigerian Used,145839,7280000
Toyota,4-Runner,2007,Nigerian Used,34065,5824000
Cadillac,SRX,2008,Nigerian Used,168321,3675000
Lexus,GS 300,2003,Foreign Used,112294,2625000
Lexus,ES 350,2008,Nigerian Used,101263,6760000
Toyota,Sienna,2006,Nigerian Used,524609,2940000
Mercedes-Benz,C 230,2006,Nigerian Used,296160,2226000
Toyota,Corolla,2011,Nigerian Used,275687,6760000
Acura,MDX,2008,Nigerian Used,304670,6448000
Toyota,4-Runner,2012,Nigerian Used,130242,12810000
Lexus,RX 350,2010,Foreign Used,125207,14700000
Infiniti,FX35,2005,Foreign Used,127925,2835000
Ford,E-150,2007,Foreign Used,245121,6825000
Acura,MDX,2005,Nigerian Used,243366,2058000
Toyota,Highlander,2003,Nigerian Used,316465,2940000
Toyota,Camry,2006,Nigerian Used,100113,6240000
Acura,ZDX,2010,Nigerian Used,211851,5273625
Toyota,Highlander,2008,Foreign Used,390562,7497000
Toyota,Camry,2003,Nigerian Used,220309,3120000
Toyota,Highlander,2005,Nigerian Used,370758,3360000
